
train_set.shape: (60000, 28, 28)
 61%|██████    | 365/600 [00:01<00:00, 273.97it/s]
loss: [600]: 230.2393798828125
5 -> [2]
9 -> [2]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [2]
1 -> [1]
5 -> [6]
9 -> [9]
7 -> [7]
3 -> [0]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 272.88it/s]
100%|██████████| 600/600 [00:02<00:00, 272.80it/s]
 33%|███▎      | 200/600 [00:00<00:01, 274.81it/s]
loss: [4200]: 220.6194610595703
5 -> [2]
0 -> [0]
4 -> [7]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [6]
5 -> [1]
3 -> [0]
6 -> [2]
1 -> [1]
7 -> [9]
2 -> [2]
8 -> [6]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [0]
4 -> [7]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [0]
9 -> [2]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [2]
9 -> [9]
7 -> [7]
3 -> [0]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 271.41it/s]
 20%|█▉        | 117/600 [00:00<00:01, 275.30it/s]
loss: [4800]: 219.63819885253906
5 -> [2]
0 -> [0]
4 -> [7]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [9]
3 -> [9]
5 -> [1]
3 -> [0]
6 -> [3]
1 -> [1]
7 -> [9]
2 -> [2]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [0]
4 -> [7]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [0]
9 -> [2]
0 -> [0]
6 -> [0]
9 -> [9]
0 -> [0]
1 -> [1]
5 -> [2]
9 -> [9]
7 -> [9]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 271.68it/s]
  4%|▍         | 27/600 [00:00<00:02, 269.66it/s]
loss: [5400]: 216.79989624023438
5 -> [3]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [9]
3 -> [9]
5 -> [7]
3 -> [0]
6 -> [3]
1 -> [1]
7 -> [9]
2 -> [0]
8 -> [9]
6 -> [9]
9 -> [7]
Accuracy (on train): 0.3
7 -> [9]
2 -> [3]
1 -> [1]
0 -> [0]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [9]
5 -> [0]
9 -> [3]
0 -> [0]
6 -> [0]
9 -> [9]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [3]
7 -> [9]
3 -> [0]
4 -> [9]
Accuracy (on test): 0.4
loss: [6000]: 215.28085327148438
5 -> [3]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [9]
3 -> [9]
5 -> [7]
3 -> [0]
6 -> [3]
1 -> [1]
7 -> [9]
2 -> [0]
8 -> [9]
6 -> [9]
9 -> [7]
Accuracy (on train): 0.3
7 -> [9]
2 -> [3]
1 -> [1]
0 -> [0]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [9]
5 -> [3]
9 -> [3]
0 -> [0]
6 -> [0]
9 -> [9]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [3]
7 -> [9]
3 -> [0]
4 -> [9]
Accuracy (on test): 0.4

 92%|█████████▏| 551/600 [00:02<00:00, 267.45it/s]
100%|██████████| 600/600 [00:02<00:00, 267.99it/s]
 79%|███████▉  | 475/600 [00:01<00:00, 275.45it/s]
5 -> [2]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [7]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [2]
1 -> [1]
7 -> [7]
2 -> [2]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [7]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [6]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 270.41it/s]
 65%|██████▍   | 389/600 [00:01<00:00, 271.79it/s]
loss: [7200]: 214.84854125976562
5 -> [2]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [7]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [2]
1 -> [1]
7 -> [7]
2 -> [2]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [7]
1 -> [1]
4 -> [6]
9 -> [7]
5 -> [2]
9 -> [6]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [2]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 269.71it/s]
100%|██████████| 600/600 [00:02<00:00, 265.95it/s]
 32%|███▏      | 194/600 [00:00<00:01, 270.99it/s]
loss: [7800]: 214.2509765625
5 -> [2]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [2]
1 -> [1]
7 -> [7]
2 -> [2]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.4
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [6]
1 -> [1]
4 -> [6]
9 -> [7]
5 -> [2]
9 -> [6]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [2]
7 -> [7]
3 -> [0]
4 -> [7]
Accuracy (on test): 0.4
Epoch 00013: reducing learning rate of group 0 to 1.0000e-05.
loss: [8400]: 213.23324584960938
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [7]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.3
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 267.92it/s]
 14%|█▍        | 84/600 [00:00<00:01, 273.98it/s]
loss: [9000]: 213.1822509765625
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [7]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.3
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 266.72it/s]
  0%|          | 0/600 [00:00<?, ?it/s]
loss: [9600]: 213.12953186035156
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [7]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.3
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
Accuracy (on test): 0.4

100%|██████████| 600/600 [00:02<00:00, 266.32it/s]
100%|██████████| 600/600 [00:02<00:00, 268.02it/s]
 56%|█████▋    | 338/600 [00:01<00:00, 272.17it/s]
loss: [10200]: 212.93801879882812
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [6]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 271.73it/s]
 41%|████▏     | 248/600 [00:00<00:01, 267.21it/s]
loss: [10800]: 212.895751953125
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 269.54it/s]
 28%|██▊       | 170/600 [00:00<00:01, 274.51it/s]
loss: [11400]: 212.87155151367188
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
Accuracy (on test): 0.4
Epoch 00019: reducing learning rate of group 0 to 1.0000e-07.
loss: [12000]: 212.86294555664062
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 271.36it/s]
100%|██████████| 600/600 [00:02<00:00, 273.26it/s]
  0%|          | 0/600 [00:00<?, ?it/s]
loss: [12600]: 212.86062622070312
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]

 94%|█████████▎| 562/600 [00:02<00:00, 271.93it/s]
loss: [13200]: 212.85848999023438
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
Accuracy (on test): 0.4
100%|██████████| 600/600 [00:02<00:00, 272.28it/s]
 75%|███████▌  | 450/600 [00:01<00:00, 271.14it/s]
loss: [13800]: 212.85768127441406
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 271.47it/s]
 60%|██████    | 363/600 [00:01<00:00, 272.31it/s]
loss: [14400]: 212.85745239257812
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 271.71it/s]
 47%|████▋     | 282/600 [00:01<00:01, 268.81it/s]
loss: [15000]: 212.8572235107422
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 271.71it/s]
100%|██████████| 600/600 [00:02<00:00, 273.24it/s]
 19%|█▉        | 116/600 [00:00<00:01, 273.43it/s]
loss: [15600]: 212.8570098876953
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 273.67it/s]
  4%|▍         | 26/600 [00:00<00:02, 252.36it/s]
loss: [16200]: 212.8568115234375
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]

 99%|█████████▊| 592/600 [00:02<00:00, 276.46it/s]
loss: [16800]: 212.85659790039062
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 273.77it/s]
 84%|████████▍ | 504/600 [00:01<00:00, 273.60it/s]
loss: [17400]: 212.85638427734375
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
100%|██████████| 600/600 [00:02<00:00, 271.92it/s]
 70%|███████   | 422/600 [00:01<00:00, 273.89it/s]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
Accuracy (on test): 0.4
loss: [18000]: 212.85614013671875
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 273.96it/s]
100%|██████████| 600/600 [00:02<00:00, 273.45it/s]
 42%|████▏     | 253/600 [00:00<00:01, 273.58it/s]
loss: [18600]: 212.85592651367188
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 274.14it/s]
 29%|██▉       | 176/600 [00:00<00:01, 281.82it/s]
loss: [19200]: 212.855712890625
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
Accuracy (on test): 0.4
loss: [19800]: 212.85549926757812
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [2]
4 -> [9]
1 -> [1]
4 -> [9]
9 -> [7]
5 -> [2]
9 -> [8]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [8]
7 -> [7]
3 -> [0]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 275.92it/s]
100%|██████████| 600/600 [00:02<00:00, 273.16it/s]
  0%|          | 0/600 [00:00<?, ?it/s]
loss: [20400]: 212.85528564453125
5 -> [8]
0 -> [0]
4 -> [9]
1 -> [1]
9 -> [9]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [0]
6 -> [8]
1 -> [1]
7 -> [7]
2 -> [8]
8 -> [9]
6 -> [7]
9 -> [7]
