
train_set.shape: (60000, 28, 28)
 62%|██████▏   | 371/600 [00:01<00:00, 274.02it/s]
loss: [600]: 230.24972534179688
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
Accuracy (on test): 0.15

100%|██████████| 600/600 [00:02<00:00, 267.76it/s]
loss: [6600]: 229.7870635986328
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
Accuracy (on test): 0.15
 11%|█         | 65/600 [00:00<00:02, 259.60it/s]
[autoreload of main failed: Traceback (most recent call last):
  File "/usr/local/lib/python3.8/dist-packages/IPython/extensions/autoreload.py", line 245, in check
    superreload(m, reload, self.old_objects)
  File "/usr/local/lib/python3.8/dist-packages/IPython/extensions/autoreload.py", line 394, in superreload
    module = reload(module)
  File "/usr/lib/python3.8/imp.py", line 314, in reload
    return importlib.reload(module)
  File "/usr/lib/python3.8/importlib/__init__.py", line 169, in reload
    _bootstrap._exec(spec, module)
  File "<frozen importlib._bootstrap>", line 604, in _exec
  File "<frozen importlib._bootstrap_external>", line 843, in exec_module
  File "<frozen importlib._bootstrap>", line 219, in _call_with_frames_removed
  File "/content/drive/Othercomputers/My MacBook Pro (corp)/transformers/main.py", line 14, in <module>
    from conv_net import Net as ConvNet
ModuleNotFoundError: No module named 'conv_net'
]
